STU_ID,SCHOOL,S1FRNDCLG,X1TXMSCR,X1HHNUMBER,X1SES,X1PAREDU,X1PARENTBA,X1POVERTY,S2ANYDUAL,X1SEX,X1RACE,X2STUEDEXPCT,X2STUEDEXPCT_BA
23390,3,0,50.2788,7,-1.103,1,0,1,0,1,5,12,1
16714,3,0,50.4735,5,-0.771,1,0,0,0,1,5,5,0
31929,3,0,50.7765,5,-0.1816,2,0,0,1,1,5,11,1
13346,3,1,50.8108,8,0.246,2,0,1,3,1,5,7,1
29416,3,1,52.2154,5,0.8453,4,1,0,1,0,5,8,1
11686,3,0,52.294,6,-0.1206,2,0,0,0,0,5,9,1
21217,3,1,53.4304,4,-0.4843,2,0,0,3,1,5,9,1
15152,3,0,53.6321,5,0.1964,2,0,0,0,0,5,1,0
21448,3,0,53.8964,7,-0.594,2,0,1,0,0,5,5,0
23152,3,0,53.9172,4,1.0103,5,1,0,0,1,5,11,1
20811,3,1,54.0825,4,1.2461,5,1,0,0,0,5,9,1
25326,3,1,54.3792,7,0.8263,4,1,0,1,1,5,9,1
14246,3,1,55.2714,5,-0.9376,3,0,1,0,1,5,9,1
25583,3,1,55.7142,2,1.9543,7,1,0,3,0,5,11,1
25969,3,1,56.0525,4,0.4359,4,1,0,1,1,5,11,1
24463,3,1,56.7648,5,-0.5628,2,0,0,1,1,5,11,1
19184,3,1,58.8857,5,-0.0932,4,1,0,3,0,5,9,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
, , ,,,,,,,,,,,
